1254094,Dubai,2021-10-07,2021,53,Chennai Super Kings,Punjab Kings,Punjab Kings,field,Punjab Kings,Wickets,6,NA,KL Rahul,K Srinivasan,RK Illingworth
1254095,Abu Dhabi,2021-10-06,2021,52,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,Runs,4,NA,KS Williamson,S Ravi,UV Gandhe
1254093,Sharjah,2021-10-05,2021,51,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,Wickets,8,NA,NM Coulter-Nile,AK Chaudhary,MA Gough
1254110,Dubai,2021-10-04,2021,50,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,Wickets,3,NA,AR Patel,AK Chaudhary,Nitin Menon
1254090,Sharjah,2021-10-03,2021,48,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Runs,6,NA,GJ Maxwell,KN Ananthapadmanabhan,RK Illingworth
1254109,Dubai,2021-10-03,2021,49,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Kolkata Knight Riders,Wickets,6,NA,Shubman Gill,J Madanagopal,MA Gough
1254112,Sharjah,2021-10-02,2021,46,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,Wickets,4,NA,AR Patel,AK Chaudhary,MA Gough
1254089,Abu Dhabi,2021-10-02,2021,47,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,Wickets,7,NA,RD Gaikwad,CB Gaffaney,VK Sharma
1254102,Dubai,2021-10-01,2021,45,Kolkata Knight Riders,Punjab Kings,Punjab Kings,field,Punjab Kings,Wickets,5,NA,KL Rahul,KN Ananthapadmanabhan,RK Illingworth
1254091,Sharjah,2021-09-30,2021,44,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,Wickets,6,NA,JR Hazlewood,Nitin Menon,YC Barde
1254103,Dubai,2021-09-29,2021,43,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Wickets,7,NA,YS Chahal,AY Dandekar,KN Ananthapadmanabhan
1254099,Abu Dhabi,2021-09-28,2021,42,Punjab Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,Wickets,6,NA,KA Pollard,S Ravi,VK Sharma
